relpath,dataset_source,class,duplicate_of,pixel_hash
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N21.jpg,dataset1,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N16.jpg,47d14413b9b114f0d63df3d6eff87552085da299dc826030e7afa8fa9b4ff0d5
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N27.jpg,dataset1,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N22.jpg,f831e9fe5cfca0d6e1981de9d85e12ba76c080ceede25407cb43a68d16c1f6ff
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N32.jpg,dataset1,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N28.jpg,8f14213133352c984e3aaa97ce6bf7e78253363ba8fb38fedbdd9fcac316e2fa
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP107.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N23.jpg,e99ffeb687ae5359c79c4a2773fffbfaadb3af8b2a0dca5600c7214593296eed
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP112.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP100.jpg,468c347f98610d68a3c64336342ac75cd152737fe0965e40d074ad813295022f
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP13.JPEG,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N1.JPEG,60f2f84b887de1b496cf7999a412bc5022994bf2464f4371b4f8b6c682fab390
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP131.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP108.jpg,f2b26afb2182ccb37f7c30aa3e337e037830e09c087455babe867c37e4a22495
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP135.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP101.jpg,cd6f232d9431a8c901c9e353ece86b4b26f328055c28e43b335d8936e4976b80
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP139.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP103.jpg,7de6792b26a8735f2ad87479c653243446469a71bdb06db7b695edcb001a2031
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP21.JPEG,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP20.JPEG,009c5ff50173a0e785e98827ad15de8a38ccc915d194e7f9d132e4629d0ee7e4
