a_relpath,b_relpath,a_class,b_class,a_source,b_source,correlation,dhash_hamming,label_conflict
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N18.jpg,data\raw\dataset2\osteoporosis\normal\Normal_50.jpg,normal,normal,dataset1,dataset2,0.998992,3,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N2.JPEG,data\raw\dataset2\osteoporosis\normal\Normal_24.jpg,normal,normal,dataset1,dataset2,0.999765,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N22.jpg,data\raw\dataset2\osteoporosis\normal\Normal_56.jpg,normal,normal,dataset1,dataset2,0.999785,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N24.jpg,data\raw\dataset2\osteoporosis\normal\Normal_59.jpg,normal,normal,dataset1,dataset2,0.999804,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N25.jpg,data\raw\dataset2\osteoporosis\normal\Normal_60.jpg,normal,normal,dataset1,dataset2,0.999815,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N26.jpg,data\raw\dataset2\osteoporosis\normal\Normal_61.jpg,normal,normal,dataset1,dataset2,0.999809,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N28.jpg,data\raw\dataset2\osteoporosis\normal\Normal_64.jpg,normal,normal,dataset1,dataset2,0.999681,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N29.jpg,data\raw\dataset2\osteoporosis\normal\Normal_65.jpg,normal,normal,dataset1,dataset2,0.9997,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N31.jpg,data\raw\dataset2\osteoporosis\normal\Normal_68.jpg,normal,normal,dataset1,dataset2,0.999746,3,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N33.jpg,data\raw\dataset2\osteoporosis\normal\Normal_71.jpg,normal,normal,dataset1,dataset2,0.99976,2,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N34.jpg,data\raw\dataset2\osteoporosis\normal\Normal_72.jpg,normal,normal,dataset1,dataset2,0.999803,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N35.jpg,data\raw\dataset2\osteoporosis\normal\Normal_73.jpg,normal,normal,dataset1,dataset2,0.99979,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\normal\N36.jpg,data\raw\dataset2\osteoporosis\normal\Normal_75.jpg,normal,normal,dataset1,dataset2,0.999807,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP100.jpg,data\raw\dataset2\osteoporosis\normal\Normal_120.jpg,osteopenia,normal,dataset1,dataset2,0.999428,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP101.jpg,data\raw\dataset2\osteoporosis\normal\Normal_122.jpg,osteopenia,normal,dataset1,dataset2,0.99975,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP102.jpg,data\raw\dataset2\osteoporosis\normal\Normal_186.jpg,osteopenia,normal,dataset1,dataset2,0.999804,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP103.jpg,data\raw\dataset2\osteoporosis\normal\Normal_158.jpg,osteopenia,normal,dataset1,dataset2,0.999813,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP104.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_89.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.9997,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP105.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_87.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999655,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP106.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_91.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.998815,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP108.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_116.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999823,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP109.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_94.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999811,1,True
