architecture,architecture_display,backbones,n_backbones,fold,feature_dim,accuracy,precision,recall,f1,sensitivity,specificity,roc_auc,balanced_accuracy,npv,tp,tn,fp,fn,n_test,epochs_run,best_epoch,best_val_loss,train_seconds,seconds_per_epoch,head_inference_ms_per_image,trainable_params
A1,VGG19,vgg19,1,1,512,0.8174603174603174,0.7241379310344828,0.8571428571428571,0.7850467289719627,0.8571428571428571,0.7922077922077922,0.8425655976676385,0.8246753246753247,0.8970588235294118,42,61,16,7,126,23,8,0.4503780901432037,8.301,0.3609,0.9031,164353
A1,VGG19,vgg19,1,2,512,0.704,0.6721311475409836,0.7068965517241379,0.6890756302521007,0.7068965517241379,0.7014925373134329,0.789758106021616,0.7041945445187854,0.734375,41,47,20,17,125,29,14,0.4725139141082763,9.574,0.3302,0.7617,164353
A1,VGG19,vgg19,1,3,512,0.7846153846153846,0.7464788732394366,0.8412698412698413,0.791044776119403,0.8412698412698413,0.7313432835820896,0.8367685382610756,0.7863065624259654,0.8305084745762712,53,49,18,10,130,33,18,0.4708411395549774,11.168,0.3384,0.809,164353
A1,VGG19,vgg19,1,4,512,0.7286821705426356,0.71875,0.7301587301587301,0.7244094488188977,0.7301587301587301,0.7272727272727273,0.797979797979798,0.7287157287157287,0.7384615384615385,46,48,18,17,129,23,8,0.5488512516021729,7.745,0.3367,0.7821,164353
A1,VGG19,vgg19,1,5,512,0.7338709677419355,0.7076923076923077,0.7666666666666667,0.736,0.7666666666666667,0.703125,0.83984375,0.7348958333333333,0.7627118644067796,46,45,19,14,124,26,11,0.5112450122833252,8.521,0.3277,0.8067,164353
A2,VGG19 + InceptionResNetV2,vgg19+inceptionresnetv2,2,1,2048,0.8571428571428571,0.8444444444444444,0.7755102040816326,0.8085106382978723,0.7755102040816326,0.9090909090909092,0.9106811555791148,0.8423005565862709,0.8641975308641975,38,70,7,11,126,26,11,0.3882406949996948,11.391,0.4381,0.825,557569
A2,VGG19 + InceptionResNetV2,vgg19+inceptionresnetv2,2,2,2048,0.8,0.8,0.7586206896551724,0.7787610619469026,0.7586206896551724,0.835820895522388,0.8667009778692744,0.7972207925887802,0.8,44,56,11,14,125,22,7,0.3944618701934814,10.353,0.4706,0.8278,557569
A2,VGG19 + InceptionResNetV2,vgg19+inceptionresnetv2,2,3,2048,0.7923076923076923,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.8095238095238095,0.7761194029850746,0.8704098554844824,0.7928216062544421,0.8125,51,52,15,12,130,21,6,0.4064859449863434,9.377,0.4465,0.7889,557569
A2,VGG19 + InceptionResNetV2,vgg19+inceptionresnetv2,2,4,2048,0.7984496124031008,0.7402597402597403,0.9047619047619048,0.8142857142857143,0.9047619047619048,0.696969696969697,0.8217893217893216,0.800865800865801,0.8846153846153846,57,46,20,6,129,17,2,0.4892811775207519,7.737,0.4551,0.8082,557569
A2,VGG19 + InceptionResNetV2,vgg19+inceptionresnetv2,2,5,2048,0.7741935483870968,0.7162162162162162,0.8833333333333333,0.791044776119403,0.8833333333333333,0.671875,0.87890625,0.7776041666666667,0.86,53,43,21,7,124,17,2,0.5391809940338135,7.726,0.4545,0.8645,557569
A3,VGG19 + MobileNetV2,vgg19+mobilenetv2,2,1,1792,0.8571428571428571,0.7818181818181819,0.8775510204081632,0.8269230769230769,0.8775510204081632,0.8441558441558441,0.8780811025708984,0.8608534322820036,0.9154929577464788,43,65,12,6,126,26,11,0.3846570253372192,11.098,0.4269,0.7887,492033
A3,VGG19 + MobileNetV2,vgg19+mobilenetv2,2,2,1792,0.816,0.8070175438596491,0.7931034482758621,0.8,0.7931034482758621,0.835820895522388,0.8435409161091096,0.8144621718991251,0.8235294117647058,46,56,11,12,125,24,9,0.4655233323574066,10.169,0.4237,0.8519,492033
A3,VGG19 + MobileNetV2,vgg19+mobilenetv2,2,3,1792,0.7923076923076923,0.75,0.8571428571428571,0.7999999999999999,0.8571428571428571,0.7313432835820896,0.8370054489457475,0.7942430703624733,0.8448275862068966,54,49,18,9,130,21,6,0.5480414628982544,8.866,0.4222,0.7914,492033
A3,VGG19 + MobileNetV2,vgg19+mobilenetv2,2,4,1792,0.751937984496124,0.7384615384615385,0.7619047619047619,0.75,0.7619047619047619,0.7424242424242424,0.7943722943722944,0.7521645021645021,0.765625,48,49,17,15,129,21,6,0.4746260046958923,9.676,0.4608,0.7721,492033
A3,VGG19 + MobileNetV2,vgg19+mobilenetv2,2,5,1792,0.7580645161290323,0.734375,0.7833333333333333,0.7580645161290323,0.7833333333333333,0.734375,0.8651041666666667,0.7588541666666666,0.7833333333333333,47,47,17,13,124,17,2,0.5361540913581848,7.467,0.4392,0.8122,492033
A4,InceptionResNetV2 + MobileNetV2,inceptionresnetv2+mobilenetv2,2,1,2816,0.8571428571428571,0.8780487804878049,0.7346938775510204,0.8,0.7346938775510204,0.935064935064935,0.8817916777100451,0.8348794063079777,0.8470588235294118,36,72,5,13,126,34,19,0.2738987505435943,16.526,0.4861,0.8468,754177
A4,InceptionResNetV2 + MobileNetV2,inceptionresnetv2+mobilenetv2,2,2,2816,0.8,0.7796610169491526,0.7931034482758621,0.7863247863247863,0.7931034482758621,0.8059701492537313,0.8597529593412249,0.7995367987647968,0.8181818181818182,46,54,13,12,125,22,7,0.4227127730846405,12.308,0.5595,0.8603,754177
A4,InceptionResNetV2 + MobileNetV2,inceptionresnetv2+mobilenetv2,2,3,2816,0.8076923076923077,0.796875,0.8095238095238095,0.8031496062992126,0.8095238095238095,0.8059701492537313,0.8903103529969202,0.8077469793887704,0.8181818181818182,51,54,13,12,130,19,4,0.4426465332508087,9.465,0.4981,0.8272,754177
A4,InceptionResNetV2 + MobileNetV2,inceptionresnetv2+mobilenetv2,2,4,2816,0.7674418604651163,0.726027397260274,0.8412698412698413,0.7794117647058825,0.8412698412698413,0.696969696969697,0.8042328042328043,0.7691197691197691,0.8214285714285714,53,46,20,10,129,17,2,0.4551959633827209,8.425,0.4956,0.8424,754177
A4,InceptionResNetV2 + MobileNetV2,inceptionresnetv2+mobilenetv2,2,5,2816,0.7580645161290323,0.7205882352941176,0.8166666666666667,0.7656250000000001,0.8166666666666667,0.703125,0.84296875,0.7598958333333333,0.8035714285714286,49,45,19,11,124,18,3,0.5434240698814392,9.35,0.5195,0.8833,754177
A5,VGG19 + InceptionResNetV2 + MobileNetV2,vgg19+inceptionresnetv2+mobilenetv2,3,1,3328,0.8412698412698413,0.8372093023255814,0.7346938775510204,0.782608695652174,0.7346938775510204,0.9090909090909092,0.8953087728597934,0.8218923933209648,0.8433734939759037,36,70,7,13,126,26,11,0.3263262510299682,13.453,0.5174,0.8037,885249
A5,VGG19 + InceptionResNetV2 + MobileNetV2,vgg19+inceptionresnetv2+mobilenetv2,3,2,3328,0.784,0.746031746031746,0.8103448275862069,0.7768595041322314,0.8103448275862069,0.7611940298507462,0.8648996397323726,0.7857694287184765,0.8225806451612904,47,51,16,11,125,17,2,0.4343965947628021,9.29,0.5465,0.8944,885249
A5,VGG19 + InceptionResNetV2 + MobileNetV2,vgg19+inceptionresnetv2+mobilenetv2,3,3,3328,0.8,0.7681159420289855,0.8412698412698413,0.8030303030303031,0.8412698412698413,0.7611940298507462,0.8621179815209666,0.8012319355602937,0.8360655737704918,53,51,16,10,130,17,2,0.4248154759407043,8.969,0.5276,0.8176,885249
A5,VGG19 + InceptionResNetV2 + MobileNetV2,vgg19+inceptionresnetv2+mobilenetv2,3,4,3328,0.8062015503875969,0.7638888888888888,0.873015873015873,0.8148148148148149,0.873015873015873,0.7424242424242424,0.8258778258778259,0.8077200577200577,0.8596491228070176,55,49,17,8,129,17,2,0.4538002908229828,9.078,0.534,0.8564,885249
A5,VGG19 + InceptionResNetV2 + MobileNetV2,vgg19+inceptionresnetv2+mobilenetv2,3,5,3328,0.7903225806451613,0.7361111111111112,0.8833333333333333,0.803030303030303,0.8833333333333333,0.703125,0.8572916666666667,0.7932291666666667,0.8653846153846154,53,45,19,7,124,16,1,0.5390278100967407,8.486,0.5304,0.8018,885249
